ID,Name,Campaign Id,Products,Last Upload
30333,Imported Shopify Catalog,47550,203,"Aug 9, 2026",
30403,AT de small,41671,300000,"Aug 9, 2026",
30405,BE fr small,41671,300000,"Aug 9, 2026",
30406,BE nl small,41671,300000,"Aug 9, 2026",
30407,CH de small,41671,300000,"Aug 9, 2026",
30408,CH fr small,41671,300000,"Aug 9, 2026",
30410,CZ cs small,41671,300000,"Aug 9, 2026",
30411,DE de small,41671,300000,"Aug 9, 2026",
30414,ES es small,41671,300000,"Aug 9, 2026",
30416,GB en small,41671,300000,"Aug 9, 2026",
30417,FR fr small,41671,300000,"Aug 9, 2026",
30420,HU hu small,41671,300000,"Aug 9, 2026",
30421,IE en small,41671,300000,"Aug 9, 2026",
30423,IT it small,41671,300000,"Aug 9, 2026",
30429,NL nl small,41671,300000,"Aug 9, 2026",
30430,NO nb small,41671,300000,"Aug 9, 2026",
30431,PL pl small,41671,300000,"Aug 9, 2026",
30432,PT pt small,41671,300000,"Aug 9, 2026",
30433,RO ro small,41671,299996,"Aug 9, 2026",
30434,SE sv small,41671,300000,"Aug 9, 2026",
30435,SK sk small,41671,300000,"Aug 9, 2026",
30437,AT de medium,41671,1000000,"Aug 9, 2026",
30438,AT de big 1,41671,1000424,"Aug 9, 2026",
30439,AT de big 2,41671,1000094,"Aug 9, 2026",
30440,AT de big 3,41671,1000341,"Aug 9, 2026",
30441,AT de big 4,41671,998620,"Aug 9, 2026",
30442,AT de big 5,41671,1000517,"Aug 9, 2026",
30461,Imported Shopify Catalog,47696,530,"Aug 9, 2026",
30462,Imported Shopify Catalog,47696,530,"Aug 9, 2026",
30533,Imported Shopify Catalog,47785,100,"Aug 9, 2026",
30560,Imported Shopify Catalog,47961,1607,"Aug 9, 2026",
30569,BE fr medium ,41671,999999,"Aug 9, 2026",
30571,BE fr big 1,41671,999262,"Aug 9, 2026",
30573,BE fr big 2,41671,999536,"Aug 9, 2026",
30574,BE fr big 3,41671,1000551,"Aug 9, 2026",
30575,BE fr big 4,41671,1000454,"Aug 9, 2026",
30576,BE fr big 5,41671,1000192,"Aug 9, 2026",
30577,BE nl medium,41671,999999,"Aug 9, 2026",
30578,CH de medium,41671,999999,"Aug 9, 2026",
30581,CH fr medium,41671,999999,"Aug 9, 2026",
30583,CZ cs medium,41671,999999,"Aug 9, 2026",
30584,DE de medium,41671,1000000,"Aug 9, 2026",
30586,ES es medium,41671,1000000,"Aug 9, 2026",
30588,FR fr medium,41671,1000000,"Aug 9, 2026",
30589,GB en medium,41671,1000000,"Aug 9, 2026",
30593,HU hu medium,41671,1000000,"Aug 9, 2026",
30594,IE en medium,41671,999999,"Aug 9, 2026",
30596,IT it medium,41671,1000000,"Aug 9, 2026",
30602,NL nl medium,41671,999999,"Aug 9, 2026",
30604,NO nb medium,41671,999999,"Aug 9, 2026",
30605,PL pl medium,41671,1000000,"Aug 9, 2026",
30606,PT pt medium,41671,1000000,"Aug 9, 2026",
30607,RO ro medium,41671,999992,"Aug 9, 2026",
30608,SE sv medium,41671,1000000,"Aug 9, 2026",
30609,SK sk medium,41671,1000000,"Aug 9, 2026",
30617,BE nl big 1,41671,999262,"Aug 9, 2026",
30619,BE nl big 2,41671,999536,"Aug 9, 2026",
30620,BE nl big 3,41671,1000551,"Aug 9, 2026",
30621,BE nl big 4,41671,1000454,"Aug 9, 2026",
30623,BE nl big 5,41671,1000192,"Aug 9, 2026",
30628,CH de big 1,41671,1001449,"Aug 9, 2026",
30629,CH de big 2,41671,999042,"Aug 9, 2026",
30630,CH de big 3,41671,1000324,"Aug 9, 2026",
30632,CH de big 4,41671,999348,"Aug 9, 2026",
30633,CH de big 5,41671,999833,"Aug 9, 2026",
30634,CH fr big 1,41671,1001449,"Aug 9, 2026",
30667,CH fr big 2,41671,999042,"Aug 9, 2026",
30668,CH fr big 3,41671,1000324,"Aug 9, 2026",
30669,CH fr big 4,41671,999348,"Aug 9, 2026",
30670,CH fr big 5,41671,999833,"Aug 9, 2026",
30676,CZ cs big 1,41671,1000999,"Aug 9, 2026",
30677,CZ cs big 2,41671,1000307,"Aug 9, 2026",
30678,CZ cs big 3,41671,999626,"Aug 9, 2026",
30679,CZ cs big 4,41671,999986,"Aug 9, 2026",
30680,CZ cs big 5,41671,999078,"Aug 9, 2026",
30681,DE de big 1,41671,1000369,"Aug 9, 2026",
30682,DE de big 2,41671,999881,"Aug 9, 2026",
30683,DE de big 3,41671,1000107,"Aug 9, 2026",
30684,DE de big 4,41671,999278,"Aug 9, 2026",
30685,DE de big 5,41671,1000363,"Aug 9, 2026",
30687,ES es big 1,41671,1000199,"Aug 9, 2026",
30693,ES es big 2,41671,1000334,"Aug 9, 2026",
30694,ES es big 3,41671,1000341,"Aug 9, 2026",
30695,ES es big 4,41671,998755,"Aug 9, 2026",
30696,ES es big 5,41671,1000367,"Aug 9, 2026",
30697,FR fr big 1,41671,1000547,"Aug 9, 2026",
30698,FR fr big 2,41671,999503,"Aug 9, 2026",
30699,FR fr big 3,41671,1000156,"Aug 9, 2026",
30700,FR fr big 4,41671,999467,"Aug 9, 2026",
30701,FR fr big 5,41671,1000326,"Aug 9, 2026",
30702,GB en big 1,41671,1001014,"Aug 9, 2026",
30703,GB en big 2,41671,999593,"Aug 9, 2026",
30704,GB en big 3,41671,999441,"Aug 9, 2026",
30705,GB en big 4,41671,1000395,"Aug 9, 2026",
30706,GB en big 5,41671,999555,"Aug 9, 2026",
30707,IT it big 1,41671,1000281,"Aug 9, 2026",
30708,IT it big 2,41671,1000125,"Aug 9, 2026",
30709,IT it big 3,41671,1000719,"Aug 9, 2026",
30710,IT it big 4,41671,998404,"Aug 9, 2026",
30711,IT it big 5,41671,1000468,"Aug 9, 2026",
30712,NL nl big 1,41671,998989,"Aug 9, 2026",
30713,NL nl big 2,41671,999596,"Aug 9, 2026",
30714,NL nl big 3,41671,1001431,"Aug 9, 2026",
30715,NL nl big 4,41671,1000469,"Aug 9, 2026",
30716,NL nl big 5,41671,999512,"Aug 9, 2026",
30717,NO nb big 1,41671,1000169,"Aug 9, 2026",
30718,NO nb big 2,41671,998953,"Aug 9, 2026",
30719,NO nb big 3,41671,1000150,"Aug 9, 2026",
30720,NO nb big 4,41671,999227,"Aug 9, 2026",
30721,NO nb big 5,41671,1001498,"Aug 9, 2026",
30722,PL pl big 1,41671,1000780,"Aug 9, 2026",
30723,PL pl big 2,41671,998714,"Aug 9, 2026",
30724,PL pl big 3,41671,1000361,"Aug 9, 2026",
30725,PL pl big 4,41671,1000471,"Aug 9, 2026",
30726,PL pl big 5,41671,999673,"Aug 9, 2026",
30727,SE sv big 1,41671,999385,"Aug 9, 2026",
30728,SE sv big 2,41671,999818,"Aug 9, 2026",
30729,SE sv big 3,41671,999542,"Aug 9, 2026",
30730,SE sv big 4,41671,999368,"Aug 9, 2026",
30731,SE sv big 5,41671,1001885,"Aug 9, 2026",
30732,SK sk big 1 ,41671,999933,"Aug 9, 2026",
30733,SK sk big 2,41671,1000025,"Aug 9, 2026",
30734,SK sk big 3,41671,999719,"Aug 9, 2026",
30735,SK sk big 4,41671,999310,"Aug 9, 2026",
30736,SK sk big 5,41671,1001010,"Aug 9, 2026",
30756,HU hu big 1,41671,999770,"Aug 9, 2026",
30757,HU hu big 2,41671,997857,"Aug 9, 2026",
30758,HU hu big 3,41671,1001021,"Aug 9, 2026",
30759,HU hu big 4,41671,999720,"Aug 9, 2026",
30761,HU hu big 5,41671,1001629,"Aug 9, 2026",
30762,IE en big 1,41671,1001127,"Aug 9, 2026",
30763,IE en big 2,41671,999384,"Aug 9, 2026",
30764,IE en big 3,41671,999917,"Aug 9, 2026",
30765,IE en big 4,41671,999882,"Aug 9, 2026",
30766,IE en big 5,41671,999686,"Aug 9, 2026",
30800,PT pt big 1,41671,999955,"Aug 9, 2026",
30801,PT pt big 2,41671,1000270,"Aug 9, 2026",
30802,PT pt big 3,41671,1000898,"Aug 9, 2026",
30803,PT pt big 4,41671,999363,"Aug 9, 2026",
30804,PT pt big 5,41671,999511,"Aug 9, 2026",
30805,RO ro big 1,41671,999760,"Aug 9, 2026",
30806,RO ro big 2,41671,999438,"Aug 9, 2026",
30807,RO ro big 3,41671,1000851,"Aug 9, 2026",
30808,RO ro big 4,41671,998928,"Aug 9, 2026",
30809,RO ro big 5,41671,1000932,"Aug 9, 2026",
30914,Imported Shopify Catalog,48095,14667,"Aug 9, 2026",
30933,Imported Shopify Catalog,48215,19011,"Aug 9, 2026",
30936,Imported Shopify Catalog,48002,218475,"Aug 9, 2026",
30979,Imported Shopify Catalog,48320,5512,"Aug 9, 2026",
31011,RO Catalog,39935,242,"Aug 9, 2026",
31043,Imported Shopify Catalog,47115,105168,"Aug 9, 2026",
31057,FR Product Catalog (All Partners),25696,10,"Aug 9, 2026",
31107,DE Product Feed (All Partners),25696,10,"Aug 9, 2026",
31108,AT Product Feed (All Partners),25696,10,"Aug 9, 2026",
31109,IT Product Feed (All Partners),25696,10,"Aug 9, 2026",
31110,ES Product Feed (All Partners),25696,10,"Aug 9, 2026",
31111,IE Product Feed (All Partners),25696,10,"Aug 9, 2026",
31306,Imported Amazon Catalog,45738,1,"Feb 19, 2026",
31333,Mulerun Subscription Plans,44028,5,"Feb 20, 2026",
31477,Imported Shopify Catalog,48882,10224,"Aug 9, 2026",
31502,Imported Shopify Catalog,48321,438,"Aug 9, 2026",
31695,Nl Product Feed,20686,249,"Aug 9, 2026",
31696,Imported Shopify Catalog,49420,3821,"Aug 9, 2026",
31764,Imported Amazon Catalog,49590,78,"Aug 9, 2026",
31768,Alpine PL,27754,13653,"Aug 9, 2026",
31769,Alpine Rest of Europe,27754,13890,"Aug 9, 2026",
31771,Alpine AT,27754,13080,"Jul 29, 2026",
31772,Alpine BE (FR),27754,13077,"Jul 29, 2026",
31773,Alpine BE (NL),27754,13597,"Aug 9, 2026",
31774,Alpine FR,27754,13077,"Jul 29, 2026",
31776,Alpine IT,27754,13077,"Jul 29, 2026",
31777,Alpine NL,27754,13080,"Jul 29, 2026",
31778,Alpine UK,27754,13121,"Jul 29, 2026",
31779,Alpine ES,27754,13052,"Jul 23, 2026",
31840,Gameseal Feed ENG/EUR,42332,73243,"Aug 9, 2026",
31852,Imported Shopify Catalog,49879,393,"Aug 9, 2026",
31860,Imported Shopify Catalog,49920,3127,"Aug 9, 2026",
31985,Imported Shopify Catalog,49942,325,"Aug 9, 2026",
31986,Imported Shopify Catalog,49942,325,"Aug 9, 2026",
31991,Imported Shopify Catalog,50060,9886,"Aug 9, 2026",
32013,Imported Shopify Catalog,50200,147,"Aug 9, 2026",
32038,Imported Shopify Catalog,50036,448,"Aug 9, 2026",
32083,Imported Shopify Catalog,50041,161,"Aug 9, 2026",
32088,X-Sense German Product Feed | Import from shopify,39753,280,"Aug 9, 2026",
32089,X-Sense FR Product Feed | import from shopify,39753,154,"Aug 9, 2026",
32091,UK X-Sense Product Feed| import from shopify,39753,190,"Aug 9, 2026",
32221,Imported Shopify Catalog,49142,213,"Aug 9, 2026",
32235,Helloice - DE (EUR),26893,1585,"Jul 31, 2026",
32390,Imported Shopify Catalog,49141,293,"Aug 9, 2026",
32627,CVLIFE-USD-products-2026.6.csv,24051,327,"Jul 3, 2026",
32676,Imported Shopify Catalog,49652,14667,"Aug 9, 2026",
32677,Imported Shopify Catalog,49652,14667,"Aug 9, 2026",
32688,Imported Shopify Catalog,51250,7426,"Aug 9, 2026",
32689,Imported Shopify Catalog,51251,3318,"Aug 9, 2026",
32690,Imported Shopify Catalog,51252,4463,"Aug 9, 2026",
32691,Capelin Catalogue - USD,47961,1317,"Aug 9, 2026",
32907,Lumibricks_Shopify_Feed,17189,624,"Aug 9, 2026",
33008,Imported Shopify Catalog,51769,12496,"Aug 9, 2026",
33165,Imported Shopify Catalog,51925,1387,"Aug 9, 2026",
33537,Imported Shopify Catalog,52695,226,"Aug 9, 2026",
33639,Imported Shopify Catalog,52659,357,"Aug 9, 2026",
33640,Imported Shopify Catalog,52659,357,"Aug 9, 2026",
33673,Imported Shopify Catalog,52929,848,"Aug 9, 2026",
33782,Sidi EU/ENG,50060,9059,"Aug 9, 2026",
33783,Sidi UK/GBP,50060,9059,"Aug 9, 2026",
33784,Sidi US/USD,50060,9059,"Aug 9, 2026",
33785,Sidi CA/CAD,50060,9059,"Aug 9, 2026",
33786,Sidi IT/EUR,50060,9059,"Aug 9, 2026",
