Advertiser URL,Advertiser Category,Program ID,Program Name,Contract Status,Tracking Link,Allows Deep Linking,Payout
http://www.sandandsky.com,Cosmetics & Skin Care,17524,Sand&Sky,Active,https://sand-and-sky.sjv.io/c/7401119/1485463/17524,true,Online Sale: 2%
http://www.expressvpn.com,Internet Service Provider,29571,Holiday.com,Active,https://go.holiday.com/c/7401119/2321203/29571,true,Online Sale: 25%
http://anker.com,Consumer Electronics,18024,Eufy NL & CA,Active,https://eufy.sjv.io/c/7401119/1543970/18024,true,"Online Sale - CA: 7%
Online Sale: 7%"
http://www.ferrariworldabudhabi.com,Accommodations,26890,Ferrari World Abu Dhabi,Active,https://ferrariworldabudhabi.sjv.io/c/7401119/2118941/26890,true,Online Booking: 4%
https://flashcloud.com,Website Hosting,52759,Flashcloud Affiliate Program,Active,https://flashcloud.pxf.io/c/7401119/3892581/52759,true,Subscription Purchase: $60.00
https://www.flashforge.com/,,38200,Flashforge Affiliate Program,Active,https://flashforge.sjv.io/c/7401119/3092803/38200,true,"Online Sale - UK: 3%-4%
Online Sale - CA: 3%-4%
Online Sale - AU: 3%-4%
Online Sale - EU: 3%-4%
Online Sale - US: 3%-4%
Online Sale - Asia: 3%"
https://flowerknows.co,Fragrance,41972,Flower Knows,Active,https://flowerknowscosmeticsinc.sjv.io/c/7401119/3274793/41972?trafsrc=impact,true,Online Sale: 5%
https://flowerknows.co,Fragrance,45298,Flower Knows Cosmetics Inc - Creator,Active,https://flowerknowscosmeticsinc.sjv.io/c/7401119/3399643/45298,true,"Online Sale: 5%
Gift: USD0.00
Creator Post: USD0.00"
https://mooyius.com/,Women's Apparel,32511,oyrosy.com,Active,https://oyrosycom.sjv.io/c/7401119/2820691/32511,true,Online Sale: 12%
https://mooyius.com/,Women's Apparel,32512,mooyius.com,Active,https://mooyiuscom.sjv.io/c/7401119/2820693/32512,true,Online Sale: 12%
https://www.fontlab.com/,"Themes, Code, Graphics, Video & more",19378,FontLab Affiliate Program,Active,https://fontlabaffiliateprogram.pxf.io/c/7401119/1671642/19378,true,Online Sale : 15%
https://outfitrer.com/,Parts & Accessories,32890,outfitrer,Active,https://forcomeecommerceinc.sjv.io/c/7401119/2843329/32890,true,Online Sale: 8%
https://outfitrer.com/,Outdoors & Recreation,33100,youngelectricbikes,Active,https://youngelectricbikes.pxf.io/c/7401119/2853051/33100,true,Online Sale: 8%
https://www.esim4travel.com,Mobile Services & Telecommunications,22726,eSIM4Travel - Best eSIM Packages for family travel,Active,https://esim4travel.pxf.io/c/7401119/1899395/22726,true,Sale: 10%
https://www.bleequp.com,Sports Apparel & Accessories,42783,FutureBleep Technology Limited,Active,https://futurebleeptechnologylimited.pxf.io/c/7401119/3290303/42783,true,Online Sale: 8%
https://www.bleequp.com,Sports Apparel & Accessories,50200,FutureBleep Technology Limited - Creator,Active,https://futurebleeptechnologylimited.pxf.io/c/7401119/3833306/50200,true,Online Sale: 10%
https://g4free.com,Sports Apparel & Accessories,33113,G4Free Activewear,Active,https://go.sjv.io/c/7401119/2853696/33113,true,Online Sale: 20%
https://gameseal.com,Collectibles & Hobbies,42332,Gameseal - Creator,Active,https://impact.gameseal.com/c/7401119/3281317/42332,true,"Purchase: 2%-10%
Gift: EUR0.00
Creator Post: EUR0.00"
https://gamesir.com,,53212,GameSir,Active,https://wiseteamtechnologydevelopmentlimited.pxf.io/c/7401119/3906645/53212,true,Online Sale: 5%
http://www.gardenhotels.com/,Accommodations,51102,"Garden Hotels (ES, DE, UK,NL,FR)",Active,https://gardenhotels.sjv.io/c/7401119/3852243/51102,true,Online Booking: 4%
http://www.garzablancaresort.com/,Accommodations,17034,Garza Blanca Resort & Spa |TAFER Hotels & Resorts ( USA & LATAM),Active,https://garzablancaresort.pxf.io/c/7401119/1433853/17034,true,Online Booking: 4%
https://www.x-sense.com/,Consumer Electronics,39753,X-Sense Smart Home Safety| Starting from 9% Commission,Active,https://gauyekinternationallimited.sjv.io/c/7401119/3169222/39753?subId1=EGL,true,"Online sale-FR: 9%
Online sale-DE: 9%
Online sale-EU: 9%
Online Sale: 9%"
https://www.gearupbooster.com/,Apps,40222,GearUP,Active,https://gearup.sjv.io/c/7401119/3204502/40222,true,Paid Subscription: 70%
https://www.gearupbooster.com/,Apps,53368,GearUP for Mobile,Active,https://gearupapp.pxf.io/c/7401119/3911079/53368,true,"Android-GearUP: 50%
iOS-GearUP: 50%"
http://www.airhubapp.com,Transportation,21179,Airhub App,Active,https://gighubsystemsinc.sjv.io/c/7401119/1790263/21179,true,Online Sale: 10%
http://www.globaldelight.com,Apps,19978,Global Delight Technologies,Active,https://globaldelight.sjv.io/c/7401119/1718086/19978,true,Online Sale: 20%-30%
https://wheeltop.com,Sports Apparel & Accessories,41066,WHEELTOP Affiliate Program,Active,https://globaloneclicktechnologycolimited.pxf.io/c/7401119/3242987/41066,true,"Online sale-US: 10%
Online Sale: 10%"
https://www.gl-inet.com,Consumer Electronics,55451,GL Technologies (Hong Kong) Limited,Active,https://glinet.pxf.io/c/7401119/3966467/55451,true,Online Sale: 3%-5%
http://www.govisitcancun.com,Vacations,33159,Go Visit Cancun (Global),Active,https://govisitcancun.pxf.io/c/7401119/2855905/33159,true,Online Booking: 4%
https://greekmoving.com,Loans & Financial Services,39845,Good Greek Moving and Storage,Active,https://goodgreekmovingandstorage.pxf.io/c/7401119/3193355/39845,true,Sale: 4%
http://www.villabalbi.it/en-GB,Transportation,28232,Grand Hotel Villa Balbi (GLOBAL),Active,https://grandhotelvillabalbi.pxf.io/c/7401119/2194105/28232,true,Online Booking: 4%
http://www.pachiralodge.com/,Transportation,38211,Grupo Pachira ( USA / LATAM/ UK /ES),Active,https://grupopachira.sjv.io/c/7401119/3093216/38211,true,Online Booking: 4%
http://www.hotelesgdlplaza.com.mx/en,Accommodations,28173,Guadalajara Plaza Hoteles (MX - USA - CA),Active,https://guadalajaraplazahoteles.sjv.io/c/7401119/2191129/28173,true,Online Booking: 4%
https://www.oppo.com,Computers,38995,OPPO FR,Active,https://oppofr.sjv.io/c/7401119/3122666/38995,true,Online Sale fr: 4%-6%
https://www.oppo.com,Computers,38996,OPPO ES,Active,https://oppoes.pxf.io/c/7401119/3122671/38996,true,Online Sale es: 3%-5%
https://www.oppo.com,Consumer Electronics,38998,OPPO UK,Active,https://oppouk.pxf.io/c/7401119/3122674/38998,true,Online Sale uk: 2%
https://www.oppo.com,,50848,OPPO ID,Active,https://oppoid.sjv.io/c/7401119/3845907/50848,true,Online Sale ID: 1%-5%
https://www.oppo.com,Computers,50849,OPPO TH,Active,https://oppoth.pxf.io/c/7401119/3845909/50849,true,Online Sale th: 1%-5%
https://laavooextensions.com,Handmade Goods,46805,Moresoo Hair Extensions,Active,https://moresoo.pxf.io/c/7401119/3731284/46805,true,Online Sale: 14%
https://laavooextensions.com,Handmade Goods,46806,YoungSee Hair Extensions,Active,https://youngsee.sjv.io/c/7401119/3731287/46806,true,Online Sale: 14%
https://laavooextensions.com,Handmade Goods,51250,Ugeat Hair Official,Active,https://ugeat.pxf.io/c/7401119/3855421/51250,true,Online Sale: 12%
https://laavooextensions.com,Handmade Goods,51251,Laavoo Extensions,Active,https://laavooextensions.sjv.io/c/7401119/3855423/51251,true,Online Sale: 14%
https://laavooextensions.com,Handmade Goods,51252,vivien Hair,Active,https://vivienhair.sjv.io/c/7401119/3855426/51252,true,Online Sale: 14%
https://www.hbada.com,Supplies & Furniture,52071,HBADA,Expired,https://hbada.pxf.io/c/7401119/3879334/52071,true,Online Sale: 5%
https://www.hbada.com,Supplies & Furniture,52143,hbada eu,Expired,https://hbadaeu.pxf.io/c/7401119/3880869/52143,true,Online Sale: 5%
https://hbdjewellery.com/,Women's Apparel,47146,HBD Ltd,Active,https://hbdltd.sjv.io/c/7401119/3742831/47146?tw_source=impact&tw_campaign=%7Birpid%7D,true,Online Sale: 10%
https://hears.com,,40336,Hears B.V,Active,https://hearsbv.pxf.io/c/7401119/3206495/40336,true,Online Sale: 8%
https://www.helium10.com,,37271,Helium 10,Active,https://i.helium10.com/c/7401119/3054775/37271,false,"Subscription Purchase: 25%-100%
Recurring Subscription: 25%"
http://hightideinc.com/,Diet & Nutrition,10322,NuLeaf Naturals CBD,Active,https://nuleafnaturals.sjv.io/c/7401119/652068/10322,true,"Scheduled Order: 5%-10%
Online Sale: 5%"
https://www.postjoyebike.com,Recreational Vehicles,53416,"HK BEIRUI TRADE CO., LIMITED",Active,https://hkbeiruitradecolimited.pxf.io/c/7401119/3912334/53416,true,Online Sale: 3%
https://poposoapsolar.com,Home & Garden,44481,POPOSOAP,Active,https://hkdragonworthtechnologylimited.pxf.io/c/7401119/3367337/44481,true,Online Sale: 12%
http://www.hmhhotelgroup.com/,Accommodations,46032,HMH Hospitality,Active,https://hmhhospitality.sjv.io/c/7401119/3434590/46032,true,Online Booking: 5%
https://store.hohem.com/,Sports Apparel & Accessories,23003,Hohem Affiliate Program,Active,https://hohemholdinghongkonglimited.sjv.io/c/7401119/1918273/23003,true,Online Sale: 1%-12%
